lat,lon
43.8042582,-84.02108663
43.80396224,-84.02109594
43.80365953,-84.02108799
43.80335619,-84.02110128
43.80305791,-84.02112053
43.80275559,-84.02112779
43.80244552,-84.0211348
43.80214184,-84.02114603
43.8018315,-84.02115771
43.80152782,-84.0211651
43.80121154,-84.02117544
43.80090063,-84.0211906
43.80059846,-84.02119563
43.8003033,-84.02120046
43.80000111,-84.02119692
43.79971339,-84.02121292
43.79943201,-84.02121177
43.79914356,-84.02122565
43.79886208,-84.02126939
43.79857014,-84.02128452
43.79828579,-84.02132011
43.79799924,-84.02137559
43.79772444,-84.02141656
43.79744578,-84.02145562
43.79715722,-84.02150845
43.79686717,-84.02157655
43.79659841,-84.02164248
43.7963115,-84.02172457
43.79602668,-84.02182243
43.79575768,-84.02191398
43.79547642,-84.02201146
43.79520917,-84.02211002
43.79493151,-84.02222434
43.79464418,-84.0223497
43.79435826,-84.02248152
43.794081,-84.0226187
43.79379382,-84.02277733
43.79351709,-84.02293961
43.79323075,-84.02309398
43.79294524,-84.02324653
43.79266361,-84.02341419
43.79236828,-84.0235503
43.79205892,-84.02369741
43.79177808,-84.02385729
43.79147426,-84.02400717
43.79118814,-84.02414756
43.79091265,-84.02430635
43.79065159,-84.02446862
43.79035325,-84.02459038
43.79007873,-84.02473019
43.78977717,-84.024832
43.78948845,-84.02494579
43.78920543,-84.02504193
43.78891931,-84.02513337
43.78864254,-84.02525501
43.78834929,-84.02534712
43.78805388,-84.02543473
43.78776481,-84.02551914
43.78748751,-84.02561483
43.78719301,-84.02568983
43.78691293,-84.02574194
43.78663117,-84.02580366
43.78636113,-84.02586918
43.78605795,-84.02589512
43.7857696,-84.0259325
43.78549925,-84.02598341
43.78520537,-84.02601042
43.78491364,-84.02603969
43.78462281,-84.02605784
43.78431975,-84.02606592
43.78402473,-84.02607856
43.78373457,-84.02608236
43.78344431,-84.02609599
43.78316558,-84.02609378
43.78288,-84.02608143
43.78258871,-84.02606271
43.78229965,-84.02606912
43.78200812,-84.0260551
43.78170421,-84.02601399
43.78143478,-84.02595189
43.78107566,-84.02592792
43.78077089,-84.02597463
43.78047931,-84.02586942
43.78023436,-84.025845
43.77996309,-84.025784
43.77966184,-84.02572795
43.77937341,-84.02564996
43.77910079,-84.02562321
43.77880488,-84.02553985
43.77851123,-84.02547488
43.77820422,-84.02538686
43.77792954,-84.02529368
43.77767078,-84.02519517
43.77738582,-84.02508669
43.77709604,-84.02497719
43.77681257,-84.02487592
43.77653053,-84.024779
43.77625428,-84.02468234
43.77596432,-84.02458091
43.77569107,-84.02449475
43.77542353,-84.02440159
43.77515278,-84.02430262
43.77487454,-84.02421497
43.77459614,-84.02411147
43.77432525,-84.02401176
43.77407885,-84.02391696
43.77385056,-84.02383536
43.77363319,-84.02377171
43.77345821,-84.02367106
43.77329635,-84.02361569
43.77314173,-84.02357656
43.77295642,-84.02351762
43.77278616,-84.0234615
43.77262537,-84.02339973
43.77246581,-84.02333219
43.77230414,-84.02327328
43.77214605,-84.02321131
43.77197818,-84.02316104
43.77180655,-84.02310762
43.77161386,-84.02305177
43.77146496,-84.02298192
43.77128161,-84.02292546
43.77108634,-84.02285551
43.77090047,-84.02279747
43.77071218,-84.02274595
43.7705025,-84.02267827
43.77028181,-84.02259501
43.77005538,-84.02251488
43.76986976,-84.02245559
43.76965787,-84.02239065
